,Filename,W,S,VP,C,T,DC,CT,CP,CN,MLS,MLT,MLC,C/S,VP/T,C/T,DC/C,DC/T,T/S,CT/T,CP/T,CP/C,CN/T,CN/C,DC/S,CT/S,CP/S,L1/S,L2/S,L3/S,L4/S,L5/S,L6/S,VP/S,NP/S,PP/S,Avg_NP,Avg_PP,Avg_VP,Sbar/S,treeH/S,W/S,letter/W,Syl/W,NV,VV1,svv,cvv,advvv,adjvv,LD,ttr,rttr,cttr,bttr,uber,awlF,ari,aspw,cole_l_i,dale_c_r,diff_w,flesch_k_g,flesch_e_r,gun_fog,lexi_c,linsear_w,li_x
0,370.txt,370,26,53,40,26,11,8,7,33,14.2308,14.2308,9.25,1.5385,2.0385,1.5385,0.275,0.4231,1.0,0.3077,0.2692,0.175,1.2692,0.825,0.4230769231,0.3076923077,0.2692307692,5.5384615385,2.9615384614999996,0.9615384615000001,0.1923076923,0.0,0.0,2.8620689655000002,4.2758620689999995,1.5862068966,2.6693548387,2.6693548387,2.6693548387,0.41379310340000003,10.137931034500001,16.1923076923,3.8432304038,1.3824228028999999,0.565,0.365,26.645,3.65,0.055,0.14,0.5344418052000001,0.4750593824,9.7474035766,6.892455168,0.8768226554,37.7154152456,0.0023752969121140144,6.9,1.3,8.63,6.62,0.12826603325415678,4.9,83.56,13.141639344262297,366,5.0625,31.1327868852459
1,536.txt,121,13,18,14,13,1,1,4,9,9.3077,9.3077,8.6429,1.0769,1.3846,1.0769,0.0714,0.0769,1.0,0.0769,0.3077,0.2857,0.6923,0.6429,0.0769230769,0.0769230769,0.3076923077,2.8461538462,1.7692307691999998,1.1538461538,0.1538461538,0.0,0.0,1.6428571428999998,3.4285714286,0.8571428570999999,2.7291666667000003,2.7291666667000003,2.7291666667000003,0.0714285714,8.4285714286,11.25,4.2518518519,1.4888888888999998,0.4705882353,0.24705882350000002,5.1882352941,1.6106264766,0.10588235289999999,0.0705882353,0.5629629629999999,0.6296296296,7.315635209500001,5.1729352653,0.9056885612000001,42.6635249839,0.007407407407407408,6.5,1.4,9.65,6.86,0.15555555555555556,4.5,79.06,12.68,120,3.1363636363636367,31.7
2,705.txt,153,14,23,19,14,3,3,4,19,10.9286,10.9286,8.0526,1.3571,1.6429,1.3571,0.1579,0.2143,1.0,0.2143,0.2857,0.2105,1.3571,1.0,0.21428571429999999,0.21428571429999999,0.2857142857,3.5714285714,2.7142857143,0.7857142856999999,0.5,0.0,0.0,2.5,3.25,0.75,2.5961538462,2.5961538462,2.5961538462,0.25,9.3125,13.3076923077,4.1329479769,1.4971098266,0.4173913043,0.2608695652,7.8260869565,1.9781414202,0.0695652174,0.1391304348,0.5895953757,0.6647398844,8.7432880946,6.1824383015999995,0.9207575472,55.1337308668,0.011560693641618497,7.4,1.4,10.53,7.71,0.19653179190751446,4.8,78.25,15.066666666666666,150,3.9000000000000004,33.84105960264901
3,12.txt,450,38,54,49,39,10,9,11,50,11.8421,11.5385,9.1837,1.2895,1.3846,1.2564,0.2041,0.2564,1.0263,0.2308,0.2821,0.2245,1.2821,1.0204,0.2631578947,0.23684210530000002,0.2894736842,3.7894736842000003,2.4736842105,1.0,0.3157894737,0.0,0.0,1.85,4.525,1.375,2.6464088398,2.6464088398,2.6464088398,0.275,9.025,13.7297297297,3.9271653543,1.3248031496,0.6341463414999999,0.2520325203,15.6260162602,2.7951758675,0.081300813,0.1869918699,0.5590551181,0.4842519685,10.9144850658,7.7177064032,0.8836125398000001,41.7964269646,0.003937007874015748,6.1,1.3,8.51,6.35,0.12007874015748031,4.1,85.49,11.9386129753915,447,3.8499999999999996,29.320805369127516
4,475.txt,160,16,24,20,16,5,4,5,17,10.0,10.0,8.0,1.25,1.5,1.25,0.25,0.3125,1.0,0.25,0.3125,0.25,1.0625,0.85,0.3125,0.25,0.3125,2.9375,2.3125,0.875,0.1875,0.0,0.0,1.6666666666999999,3.6111111111,1.2222222222,2.5692307692,2.5692307692,2.5692307692,0.22222222219999999,8.722222222200001,11.75,3.9787234043,1.3670212766,0.45945945950000006,0.2612612613,7.5765765766,1.9463525600999998,0.0630630631,0.11711711710000001,0.5319148936,0.5904255319,8.0955070281,5.7243879167,0.8993759951000001,42.0937172729,0.0,6.9,1.3,9.9,6.83,0.14361702127659576,3.9,85.99,13.030000000000001,160,3.090909090909091,31.325
5,218.txt,234,24,37,31,24,7,7,6,23,9.75,9.75,7.5484,1.2917,1.5417,1.2917,0.2258,0.2917,1.0,0.2917,0.25,0.1935,0.9583,0.7419,0.2916666667,0.2916666667,0.25,3.8333333332999997,1.8333333333000001,0.9166666667,0.25,0.0,0.0,2.0370370369999997,3.2222222222,1.037037037,2.2413793103,2.2413793103,2.2413793103,0.2962962963,8.7037037037,11.25,3.862962963,1.4259259259000001,0.4387096774,0.2967741935,13.6516129032,2.6126244375,0.058064516100000005,0.1032258065,0.5148148148,0.5740740741,9.4329996015,6.6701379851,0.9008654856,45.831138091999996,0.007407407407407408,5.9,1.3,8.62,6.92,0.15185185185185185,3.7,86.6,13.078626609442061,233,3.9000000000000004,27.97234042553191
6,244.txt,106,11,18,14,10,5,4,1,13,9.6364,10.6,7.5714,1.2727,1.8,1.4,0.3571,0.5,0.9091,0.4,0.1,0.0714,1.3,0.9286,0.45454545450000006,0.3636363636,0.0909090909,2.8181818182,1.8181818182,1.2727272726999999,0.2727272727,0.0,0.0,1.9090909091,3.7272727273000004,0.8181818181999999,2.5853658537,2.5853658537,2.5853658537,0.45454545450000006,8.6363636364,10.7272727273,4.2966101695,1.4152542372999999,0.5070422535,0.2535211268,4.5633802817,1.5105264449,0.042253521100000004,0.1408450704,0.5677966102,0.6016949153,6.5360797871,4.6217063398,0.8935153364,35.768247888000005,0.01694915254237288,8.5,1.4,10.48,7.72,0.19491525423728814,6.1,74.9,15.999245283018869,106,4.75,32.16792452830189
7,355.txt,311,29,39,35,29,6,5,5,35,10.7241,10.7241,8.8857,1.2069,1.3448,1.2069,0.1714,0.2069,1.0,0.1724,0.1724,0.1429,1.2069,1.0,0.20689655170000001,0.1724137931,0.1724137931,4.1034482759,2.2068965517,1.3448275862,0.1724137931,0.0,0.06896551719999999,1.6571428571,3.2,0.9428571429000001,2.7142857143,2.7142857143,2.7142857143,0.1142857143,7.9428571428999994,12.4137931034,3.6388888889,1.3305555556,0.48205128210000003,0.2923076923,16.6615384615,2.8863071962,0.0512820513,0.1487179487,0.5277777778,0.5416666667,10.2774023955,7.2672209269,0.8958386618,45.3503857405,0.008333333333333333,5.0,1.3,7.58,6.16,0.10833333333333334,3.9,85.99,11.328543689320389,309,3.409090909090909,26.23398058252427
8,318.txt,332,28,46,42,29,10,10,6,41,11.8571,11.4483,7.9048,1.5,1.5862,1.4483,0.2381,0.3448,1.0357,0.3448,0.2069,0.1429,1.4138,0.9762,0.3571428571,0.3571428571,0.21428571429999999,4.1428571429000005,2.25,1.6428571428999998,0.3571428571,0.0,0.0,2.0322580644999997,4.4193548387,1.2903225806,2.8613138686,2.8613138686,2.8613138686,0.3548387097,9.0322580645,14.037037037000001,3.8311345645999997,1.3509234828,0.5604395604,0.3351648352,20.4450549451,3.197268752,0.0494505495,0.19780219780000002,0.5488126649,0.4802110818,9.3487120443,6.6105376819,0.8764589398,36.9196943468,0.013192612137203167,6.1,1.4,8.45,7.04,0.15567282321899736,5.5,76.42,13.849909365558913,331,4.388888888888889,27.76385542168675
9,260.txt,226,21,36,27,21,5,5,6,18,10.7619,10.7619,8.3704,1.2857,1.7143,1.2857,0.1852,0.2381,1.0,0.2381,0.2857,0.2222,0.8571,0.6667,0.2380952381,0.2380952381,0.2857142857,3.5238095238,2.2380952381,1.0,0.3333333333,0.0,0.0,2.24,3.28,1.04,2.987804878,2.987804878,2.987804878,0.24,8.72,12.2380952381,4.0350194553,1.4747081712,0.4893617021,0.34042553189999997,16.3404255319,2.8583584039999996,0.021276595699999998,0.1205673759,0.53307393,0.5486381322999999,8.7953383479,6.2192433886,0.8918169105,40.7955418766,0.011673151750972763,6.8,1.4,9.38,7.5,0.1828793774319066,5.3,76.93,14.875555555555557,225,4.166666666666667,33.86637168141593
